"user_id","region","treatment"
1741,"Midwest","Test"
1742,"New England","Control"
1743,"Midwest","Control"
1744,"Southwest","Test"
1745,"Pacific Northwest","Control"
1746,"Southwest","Control"
1747,"Pacific Northwest","Test"
1748,"Pacific Northwest","Test"
1749,"Pacific Northwest","Test"
1750,"Southwest","Test"
1751,"Pacific Northwest","Test"
1752,"Southeast","Control"
1753,"Midwest","Control"
1754,"Pacific Northwest","Control"
1755,"Pacific Northwest","Test"
1756,"Midwest","Control"
1757,"Pacific Northwest","Test"
1758,"Pacific Northwest","Test"
1759,"Southwest","Control"
1760,"Midwest","Test"
1761,"Pacific Northwest","Test"
1762,"Pacific Northwest","Control"
1763,"Southwest","Test"
1764,"Southeast","Test"
1765,"Southwest","Control"
1766,"Pacific Northwest","Control"
1767,"Southwest","Test"
1768,"New England","Control"
1769,"Southwest","Control"
1770,"New England","Control"
1771,"Midwest","Test"
1772,"Midwest","Test"
1773,"Midwest","Test"
1774,"Midwest","Control"
1775,"New England","Control"
1776,"Southwest","Control"
1777,"Pacific Northwest","Control"
1778,"Pacific Northwest","Control"
1779,"Pacific Northwest","Control"
1780,"New England","Test"
1781,"Pacific Northwest","Test"
1782,"New England","Control"
1783,"Southwest","Control"
1784,"Midwest","Test"
1785,"Midwest","Control"
1786,"Pacific Northwest","Test"
1787,"Pacific Northwest","Test"
1788,"Pacific Northwest","Test"
1789,"Midwest","Test"
1790,"Pacific Northwest","Control"
1791,"Pacific Northwest","Test"
1792,"New England","Test"
1793,"New England","Control"
1794,"New England","Control"
1795,"Southeast","Control"
1796,"Pacific Northwest","Control"
1797,"New England","Test"
1798,"Pacific Northwest","Test"
1799,"Southwest","Test"
1800,"Southwest","Control"
1801,"Southeast","Test"
1802,"Pacific Northwest","Control"
1803,"Southwest","Test"
1804,"Southeast","Control"
1805,"Southeast","Control"
1806,"Southeast","Control"
1807,"Midwest","Control"
1808,"Southwest","Control"
1809,"New England","Control"
1810,"New England","Test"
1811,"Southeast","Test"
1812,"Pacific Northwest","Test"
1813,"New England","Control"
1814,"Southwest","Test"
1815,"Midwest","Control"
1816,"Southwest","Control"
1817,"Pacific Northwest","Test"
1818,"New England","Test"
1819,"Southwest","Test"
1820,"New England","Control"
1821,"New England","Control"
1822,"Pacific Northwest","Test"
1823,"New England","Test"
1824,"Midwest","Test"
1825,"Pacific Northwest","Control"
1826,"Pacific Northwest","Test"
1827,"Southwest","Test"
1828,"Midwest","Control"
1829,"Pacific Northwest","Control"
1830,"Southeast","Test"
1831,"Southwest","Test"
1832,"Southeast","Control"
1833,"Southwest","Test"
1834,"Pacific Northwest","Test"
1835,"Midwest","Control"
1836,"New England","Control"
1837,"Southeast","Test"
1838,"Pacific Northwest","Control"
1839,"Southwest","Test"
1840,"Midwest","Control"
1841,"Pacific Northwest","Test"
1842,"Pacific Northwest","Control"
1843,"New England","Control"
1844,"Midwest","Test"
1845,"Pacific Northwest","Test"
1846,"Midwest","Control"
1847,"Midwest","Control"
1848,"Midwest","Control"
1849,"Southeast","Control"
1850,"Pacific Northwest","Test"
1851,"Midwest","Control"
1852,"Midwest","Control"
1853,"Southwest","Control"
1854,"Midwest","Control"
1855,"New England","Control"
1856,"Southwest","Control"
1857,"Southwest","Control"
1858,"Pacific Northwest","Test"
1859,"Midwest","Control"
1860,"New England","Control"
1861,"Pacific Northwest","Test"
1862,"Pacific Northwest","Control"
1863,"New England","Test"
1864,"Pacific Northwest","Control"
1865,"Midwest","Test"
1866,"Southeast","Control"
1867,"New England","Test"
1868,"Southeast","Control"
1869,"Pacific Northwest","Test"
1870,"Midwest","Control"
1871,"Southwest","Control"
1872,"Southwest","Control"
1873,"New England","Test"
1874,"Southeast","Control"
1875,"Pacific Northwest","Test"
1876,"Pacific Northwest","Control"
1877,"Southeast","Test"
1878,"New England","Test"
1879,"Southeast","Control"
1880,"New England","Control"
1881,"Southeast","Test"
1882,"New England","Control"
1883,"Pacific Northwest","Test"
1884,"Southwest","Control"
1885,"Southeast","Control"
1886,"Southwest","Control"
1887,"New England","Test"
1888,"Midwest","Control"
1889,"Pacific Northwest","Control"
1890,"Pacific Northwest","Control"
1891,"New England","Control"
1892,"Southeast","Test"
1893,"Midwest","Test"
1894,"Midwest","Control"
1895,"Pacific Northwest","Control"
1896,"New England","Test"
1897,"Southeast","Control"
1898,"Pacific Northwest","Test"
1899,"Pacific Northwest","Control"
1900,"Southwest","Test"
1901,"New England","Control"
1902,"Midwest","Control"
1903,"Southwest","Control"
1904,"Pacific Northwest","Test"
1905,"Pacific Northwest","Test"
1906,"Southwest","Test"
1907,"Pacific Northwest","Test"
1908,"Southeast","Control"
1909,"Southeast","Control"
1910,"Pacific Northwest","Control"
1911,"Pacific Northwest","Control"
1912,"Southwest","Test"
1913,"Midwest","Test"
1914,"Pacific Northwest","Test"
1915,"New England","Control"
1916,"Pacific Northwest","Test"
1917,"Pacific Northwest","Test"
1918,"New England","Control"
1919,"Pacific Northwest","Control"
1920,"Pacific Northwest","Control"
1921,"Southeast","Control"
1922,"Midwest","Control"
1923,"Southeast","Control"
1924,"Pacific Northwest","Control"
1925,"New England","Control"
1926,"Southeast","Control"
1927,"Southeast","Control"
1928,"Southeast","Control"
1929,"Pacific Northwest","Test"
1930,"Midwest","Control"
1931,"Pacific Northwest","Control"
1932,"Pacific Northwest","Control"
1933,"Pacific Northwest","Control"
1934,"New England","Control"
1935,"Southeast","Control"
1936,"Southwest","Test"
1937,"Southeast","Test"
1938,"Southeast","Test"
1939,"Southeast","Control"
1940,"Pacific Northwest","Control"
1941,"Pacific Northwest","Control"
1942,"New England","Test"
1943,"Southeast","Test"
1944,"Pacific Northwest","Test"
1945,"Midwest","Control"
1946,"Midwest","Control"
1947,"Southwest","Control"
1948,"New England","Test"
1949,"Pacific Northwest","Test"
1950,"Southeast","Test"
1951,"New England","Control"
1952,"New England","Control"
1953,"Pacific Northwest","Test"
1954,"Pacific Northwest","Control"
1955,"New England","Control"
1956,"Southwest","Control"
1957,"Midwest","Control"
1958,"Southwest","Control"
1959,"Pacific Northwest","Test"
1960,"New England","Control"
1961,"Pacific Northwest","Control"
1962,"New England","Control"
1963,"Southeast","Control"
1964,"Pacific Northwest","Test"
1965,"Midwest","Control"
1966,"New England","Test"
1967,"Southwest","Control"
1968,"Pacific Northwest","Control"
1969,"Southwest","Control"
1970,"New England","Control"
1971,"Midwest","Control"
1972,"Southwest","Control"
1973,"Southeast","Control"
1974,"Midwest","Test"
1975,"Southeast","Test"
1976,"New England","Test"
1977,"Pacific Northwest","Control"
1978,"Southeast","Test"
1979,"Midwest","Test"
1980,"New England","Control"
1981,"Pacific Northwest","Test"
1982,"New England","Control"
1983,"Midwest","Control"
1984,"Southwest","Control"
1985,"Midwest","Test"
1986,"Pacific Northwest","Test"
1987,"Midwest","Test"
1988,"Southeast","Control"
1989,"Pacific Northwest","Test"
1990,"Southeast","Test"
1991,"Pacific Northwest","Test"
1992,"Pacific Northwest","Control"
1993,"Southwest","Control"
1994,"New England","Test"
1995,"Southwest","Control"
1996,"New England","Test"
1997,"Southwest","Test"
1998,"Pacific Northwest","Control"
1999,"New England","Control"
2000,"Pacific Northwest","Control"
2001,"Midwest","Test"
2002,"Midwest","Control"
2003,"Pacific Northwest","Control"
2004,"Pacific Northwest","Test"
